"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000000805.18",2,3,7,0,9,0,0,0,0,3,3,0
"ENSMUSG00000000811.13",278,300,330,138,275,177,212,183,196,204,362,351
"ENSMUSG00000000817.10",0,4,0,0,0,0,4,0,0,0,0,0
"ENSMUSG00000000823.16",1959,2365,2450,1249,1396,1776,1557,1825,1881,1580,2268,2910
"ENSMUSG00000000826.16",3184,3827,2919,2030,2220,2252,3613,2731,3403,2394,4040,4169
"ENSMUSG00000000827.18",4141,6790,6605,3530,4345,3531,3636,4069,4945,4340,4708,5673
"ENSMUSG00000000838.17",1323,1590,1225,787,931,1104,1517,1197,881,1052,1014,1457
"ENSMUSG00000000861.15",701,819,534,1053,1090,896,2024,1474,1314,577,1777,1999
"ENSMUSG00000000869.12",33,40,26,28,27,26,41,39,33,19,42,46
"ENSMUSG00000000876.11",654,1065,1011,556,698,472,438,557,627,676,703,980
"ENSMUSG00000000881.12",802,620,538,388,534,530,848,616,653,410,909,748
"ENSMUSG00000000884.16",454,827,677,354,490,369,415,432,688,561,597,675
"ENSMUSG00000000889.8",0,3,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000901.15",541,1100,905,271,203,337,266,280,366,604,333,401
"ENSMUSG00000000902.13",4790,9626,9901,5385,6044,5934,5038,7035,9310,6319,7358,9040
"ENSMUSG00000000903.3",6,11,20,7,13,5,8,8,6,6,10,4
"ENSMUSG00000000915.15",268,201,154,67,181,172,329,143,193,143,309,271
"ENSMUSG00000000916.15",237,474,341,221,292,307,224,381,448,276,271,428
"ENSMUSG00000000934.8",205,471,358,312,363,424,289,451,602,285,487,742
"ENSMUSG00000000938.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942.10",0,0,0,0,0,0,0,0,0,3,0,0
"ENSMUSG00000000948.16",11,23,14,8,4,11,5,11,8,13,6,9
"ENSMUSG00000000957.9",3164,2427,2163,664,1021,1148,1352,840,1105,1663,1199,1213
"ENSMUSG00000000958.9",44,99,79,13,35,21,16,56,24,33,32,64
"ENSMUSG00000000959.6",1790,2471,1678,767,1458,1054,1460,1576,1441,1189,1536,1850
"ENSMUSG00000000976.13",1077,1728,1657,949,1172,1299,1355,1361,1558,1063,1443,1562
"ENSMUSG00000000982.5",1,6,7,1,2,0,0,5,0,9,3,0
"ENSMUSG00000000983.13",1,1,0,0,4,2,0,0,0,1,0,0
"ENSMUSG00000001014.5",1,16,16,0,6,9,6,8,2,5,0,1
"ENSMUSG00000001016.12",4690,9326,8609,7171,9037,8415,7744,9973,10806,5149,9738,11126
"ENSMUSG00000001017.15",2923,2248,1890,2499,2879,2699,5544,4239,3911,1830,4048,5083
"ENSMUSG00000001018.15",1173,1584,1456,1244,944,1486,1585,1939,2077,1272,1603,2203
"ENSMUSG00000001020.8",7,4,5,0,1,4,1,0,0,2,0,3
"ENSMUSG00000001021.12",4,3,2,1,0,0,0,0,0,3,1,2
"ENSMUSG00000001023.10",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025.8",267,370,360,183,211,112,181,206,258,299,151,270
"ENSMUSG00000001027.7",3,2,1,0,0,0,0,3,0,0,1,0
"ENSMUSG00000001029.15",123,185,159,17,43,29,29,14,36,141,10,39
"ENSMUSG00000001034.17",904,978,610,625,621,792,1090,1091,1056,708,1283,1796
"ENSMUSG00000001036.17",971,1192,1044,1071,1115,1126,1432,1441,1396,711,1606,1955
"ENSMUSG00000001039.12",956,1798,1777,1475,2129,1113,1504,1626,2503,1026,1838,2136
"ENSMUSG00000001052.15",1014,1270,1079,530,791,870,862,957,665,686,663,1030
"ENSMUSG00000001053.15",87,95,76,41,51,16,70,35,74,60,69,84
"ENSMUSG00000001054.9",699,923,742,791,714,667,816,1098,1247,697,1295,1599
"ENSMUSG00000001056.3",4411,5478,5974,5092,6101,3985,5446,5489,7276,4743,6256,7290
"ENSMUSG00000001062.18",347,439,285,473,528,334,659,584,640,300,534,863
"ENSMUSG00000001065.15",143,182,90,71,69,82,158,96,97,89,125,152
"ENSMUSG00000001076.6",0,2,0,0,0,0,0,0,0,0,0,0
