"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000081169.1",82,77,54,76,107,67,86,101
"ENSMUSG00000081170.1",9,14,28,29,42,25,50,65
"ENSMUSG00000081171.1",2,0,1,0,1,0,2,0
"ENSMUSG00000081172.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081173.1",127,135,111,146,143,106,124,146
"ENSMUSG00000081174.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081175.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081176.1",15096,8789,7110,12070,15321,10651,8703,17143
"ENSMUSG00000081177.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081179.1",1216,1221,1359,1033,938,753,1122,929
"ENSMUSG00000081180.1",2,0,4,1,2,5,0,1
"ENSMUSG00000081181.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081182.2",1,0,0,1,0,0,1,0
"ENSMUSG00000081183.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081184.1",0,1,1,1,0,0,1,0
"ENSMUSG00000081185.1",510,1121,711,1569,1430,900,977,1483
"ENSMUSG00000081186.1",1,1,0,0,0,0,0,1
"ENSMUSG00000081187.1",6,3,3,12,4,5,10,9
"ENSMUSG00000081188.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081189.1",22,48,24,26,26,21,27,39
"ENSMUSG00000081191.1",4,1,3,2,2,2,1,0
"ENSMUSG00000081194.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081195.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081196.1",0,0,1,0,1,0,0,0
"ENSMUSG00000081197.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081199.3",0,0,0,1,1,0,0,1
"ENSMUSG00000081200.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081201.1",21742,14007,10457,19144,23008,17064,12049,21978
"ENSMUSG00000081202.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081205.4",217,184,150,184,369,234,306,262
"ENSMUSG00000081206.1",0,0,1,0,0,0,0,0
"ENSMUSG00000081207.4",2,0,1,0,0,0,0,0
"ENSMUSG00000081208.1",464,656,484,588,647,390,688,1013
"ENSMUSG00000081209.1",0,0,0,0,2,0,0,1
"ENSMUSG00000081210.1",10,21,40,34,42,23,53,68
"ENSMUSG00000081211.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081212.1",33,24,49,59,76,32,107,75
"ENSMUSG00000081214.3",11929,6004,9913,6940,8650,6382,7382,9028
"ENSMUSG00000081215.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081216.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081217.1",0,2,4,5,2,1,0,1
"ENSMUSG00000081218.1",2,1,0,2,0,0,0,0
"ENSMUSG00000081219.1",16,4,12,2,30,18,14,28
"ENSMUSG00000081220.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081221.4",2,4,6,6,8,5,7,4
"ENSMUSG00000081222.1",79,53,171,72,69,57,88,93
"ENSMUSG00000081223.1",259,239,173,282,352,213,237,414
"ENSMUSG00000081224.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081225.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081226.1",275,139,181,189,274,206,246,227
"ENSMUSG00000081227.1",28,25,33,31,42,34,71,65
"ENSMUSG00000081228.1",9615,4545,7330,6900,7750,6044,6293,6538
"ENSMUSG00000081229.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081230.1",1886,1036,1986,1423,1412,1037,1757,2113
"ENSMUSG00000081231.1",60,62,67,64,62,35,53,79
"ENSMUSG00000081232.3",106,155,112,135,117,81,117,167
"ENSMUSG00000081233.1",7,7,9,6,4,4,4,14
"ENSMUSG00000081234.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081235.1",22,24,21,22,42,18,21,38
"ENSMUSG00000081236.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081237.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081238.3",3,2,4,8,5,6,5,10
"ENSMUSG00000081239.3",3621,1981,2645,2384,3257,2484,3034,3788
"ENSMUSG00000081240.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081242.1",136,137,107,136,142,100,140,130
"ENSMUSG00000081243.1",957,611,714,700,1282,890,1282,1060
"ENSMUSG00000081244.3",4219,2525,2088,3457,4074,2923,2305,4563
"ENSMUSG00000081245.2",0,1,0,1,0,0,0,2
"ENSMUSG00000081248.1",0,1,1,1,1,0,0,0
"ENSMUSG00000081249.3",2962,1576,2213,2178,2508,1858,2108,3220
"ENSMUSG00000081250.2",3,0,7,6,3,5,3,4
"ENSMUSG00000081251.1",7494,5607,5684,6941,6622,5070,4522,8445
"ENSMUSG00000081252.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081253.1",0,0,0,0,0,0,1,0
"ENSMUSG00000081254.1",198,530,149,542,516,237,191,590
"ENSMUSG00000081255.1",227,211,200,244,306,201,276,275
"ENSMUSG00000081256.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081257.1",7,7,6,17,15,12,13,10
"ENSMUSG00000081258.1",6,8,8,7,4,5,3,3
"ENSMUSG00000081259.2",1,4,2,2,1,2,1,0
"ENSMUSG00000081260.1",1,2,1,5,1,4,2,2
"ENSMUSG00000081261.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081262.1",2151,1066,1370,1197,1711,1301,1471,967
"ENSMUSG00000081263.1",4116,2025,2621,2803,3302,2956,2469,3610
"ENSMUSG00000081264.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081265.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081268.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081269.1",1,1,4,2,1,1,2,3
"ENSMUSG00000081270.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081271.1",0,1,2,0,0,0,0,0
"ENSMUSG00000081272.1",15743,20237,10070,24205,26359,13798,19126,30943
"ENSMUSG00000081273.1",805,403,673,582,665,545,588,767
"ENSMUSG00000081274.2",1053,619,1252,925,956,718,833,1098
"ENSMUSG00000081275.1",46,26,42,34,23,29,22,36
"ENSMUSG00000081276.1",418,234,364,325,322,290,304,355
"ENSMUSG00000081277.1",353,337,191,346,424,251,294,377
"ENSMUSG00000081278.1",38,33,57,53,68,63,52,63
"ENSMUSG00000081279.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081280.1",11,6,15,13,10,5,11,19
"ENSMUSG00000081281.1",25367,16669,16767,21045,19654,14501,13251,24674
"ENSMUSG00000081282.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081283.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081284.1",0,1,0,0,2,0,3,4
"ENSMUSG00000081285.2",39,38,35,23,28,24,30,29
"ENSMUSG00000081286.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081287.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081288.1",0,0,0,1,0,0,0,0
"ENSMUSG00000081289.1",46,94,62,88,108,46,54,104
"ENSMUSG00000081290.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081292.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081293.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081295.1",8,8,15,15,15,15,22,25
"ENSMUSG00000081296.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081297.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081298.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081299.1",0,0,0,0,0,0,1,0
"ENSMUSG00000081300.1",2,2,2,3,5,0,0,7
"ENSMUSG00000081301.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081302.1",381,266,376,294,308,258,341,341
"ENSMUSG00000081303.2",0,0,0,2,0,0,0,0
"ENSMUSG00000081304.1",0,0,1,0,1,0,1,1
"ENSMUSG00000081305.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081306.1",1505,1367,3873,3078,1340,1221,1261,1070
"ENSMUSG00000081307.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081308.1",1293,864,1040,1218,1317,1419,1158,1353
"ENSMUSG00000081309.3",128,187,253,230,264,142,359,428
"ENSMUSG00000081310.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081312.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081313.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081314.1",7,10,8,5,11,5,3,11
"ENSMUSG00000081315.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081316.1",3,0,1,0,2,0,0,3
"ENSMUSG00000081317.1",36,30,27,41,19,21,2,16
"ENSMUSG00000081318.1",0,0,0,0,0,0,0,1
"ENSMUSG00000081319.1",822,417,624,597,641,556,456,760
"ENSMUSG00000081320.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081321.1",71,69,85,79,51,57,64,69
"ENSMUSG00000081323.1",2,5,1,7,3,5,0,2
"ENSMUSG00000081324.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081325.1",1198,641,1139,846,813,667,794,916
"ENSMUSG00000081326.1",0,2,1,1,3,0,1,2
"ENSMUSG00000081327.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081328.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081329.1",347,331,189,363,374,226,210,389
"ENSMUSG00000081330.1",0,0,1,0,0,0,0,0
"ENSMUSG00000081331.1",2875,1309,2516,2092,1781,2119,1969,2084
"ENSMUSG00000081332.1",3,12,5,20,9,2,7,14
"ENSMUSG00000081333.1",0,0,0,0,0,0,0,1
"ENSMUSG00000081334.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081335.1",0,0,0,2,1,0,0,1
"ENSMUSG00000081336.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081339.1",0,2,0,0,0,0,1,0
"ENSMUSG00000081340.1",0,0,2,1,0,0,0,0
"ENSMUSG00000081341.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081342.1",83,48,31,53,102,81,123,105
"ENSMUSG00000081343.1",16,8,14,15,12,6,7,9
"ENSMUSG00000081344.5",43022,18216,26911,26712,33870,29744,23756,43313
"ENSMUSG00000081345.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081346.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081348.1",1,1,0,0,4,1,6,4
"ENSMUSG00000081349.1",1,0,2,2,0,0,0,2
"ENSMUSG00000081350.1",2332,2729,883,3035,4150,2080,1969,5100
"ENSMUSG00000081352.1",535,232,420,419,468,337,541,546
"ENSMUSG00000081353.2",0,1,1,4,0,0,1,0
"ENSMUSG00000081354.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081355.1",8,7,0,6,4,5,4,13
"ENSMUSG00000081357.1",69,49,6,16,8,23,4,29
"ENSMUSG00000081358.1",4,7,7,8,6,8,6,7
"ENSMUSG00000081359.1",708,325,507,477,559,557,455,478
"ENSMUSG00000081360.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081361.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081362.3",6,6,1,4,4,3,6,1
"ENSMUSG00000081363.2",9,5,3,12,17,5,12,9
"ENSMUSG00000081364.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081365.1",19,8,20,12,3,11,8,7
"ENSMUSG00000081367.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081369.1",0,3,2,0,0,1,1,7
"ENSMUSG00000081370.1",142,164,96,199,238,98,154,238
"ENSMUSG00000081372.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081373.1",718,958,425,993,1010,507,538,663
"ENSMUSG00000081374.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081375.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081376.1",1588,803,1178,1111,1402,1278,924,1369
"ENSMUSG00000081377.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081378.1",26387,12518,20207,18028,20682,15678,16045,22977
"ENSMUSG00000081379.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081381.1",34,37,29,43,58,56,49,38
"ENSMUSG00000081382.1",36249,19402,26209,26599,31056,23803,24609,40887
"ENSMUSG00000081383.1",1,0,1,0,0,1,0,1
"ENSMUSG00000081384.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081386.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081388.1",33,27,27,41,43,27,24,80
"ENSMUSG00000081389.2",36,26,24,48,30,25,18,28
"ENSMUSG00000081390.1",27,35,21,43,33,19,30,51
"ENSMUSG00000081391.1",43,33,32,44,24,19,11,25
"ENSMUSG00000081392.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081394.1",14941,7181,13626,9701,10709,9059,8983,11529
"ENSMUSG00000081395.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081396.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081397.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081398.1",0,0,0,0,1,0,0,0
"ENSMUSG00000081399.2",11,11,10,5,10,3,5,0
"ENSMUSG00000081400.1",14815,8817,12007,11678,12426,8570,9737,15548
"ENSMUSG00000081402.4",697,603,908,755,877,615,981,1167
"ENSMUSG00000081404.1",445,241,351,335,443,338,440,547
"ENSMUSG00000081405.1",28,27,56,23,42,22,24,38
"ENSMUSG00000081406.4",75348,45924,52492,58538,57623,45122,45273,70590
"ENSMUSG00000081407.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081408.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081409.1",0,0,0,2,2,0,0,5
"ENSMUSG00000081410.1",1,1,0,1,0,0,3,3
"ENSMUSG00000081412.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081413.3",723,368,529,503,538,498,433,571
"ENSMUSG00000081414.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081415.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081416.1",6431,4269,3448,5349,5534,4623,3717,6917
"ENSMUSG00000081417.1",1,1,1,6,4,0,2,2
"ENSMUSG00000081418.1",1744,1069,1401,1315,1453,1120,1357,1651
"ENSMUSG00000081420.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081421.1",825,463,819,577,666,535,673,883
"ENSMUSG00000081422.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081423.1",78,35,56,58,42,34,46,65
"ENSMUSG00000081424.1",0,0,0,1,0,0,0,0
"ENSMUSG00000081426.1",3,3,3,4,3,0,1,4
"ENSMUSG00000081427.1",0,0,0,0,1,1,2,1
"ENSMUSG00000081428.1",6,7,19,7,4,7,13,9
"ENSMUSG00000081429.1",2226,952,1607,1376,1730,1252,1227,2038
"ENSMUSG00000081431.1",16273,7916,12558,11250,12615,9824,9746,13772
"ENSMUSG00000081432.1",0,1,0,1,1,0,2,1
"ENSMUSG00000081433.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081434.3",12730,7926,12846,11803,11741,9233,12301,13636
"ENSMUSG00000081435.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081436.1",20,47,13,80,67,24,40,93
"ENSMUSG00000081437.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081438.1",0,0,0,1,0,0,0,0
"ENSMUSG00000081439.1",10,3,10,3,7,3,13,9
"ENSMUSG00000081440.2",6,7,2,4,6,6,5,3
"ENSMUSG00000081441.3",82,41,64,66,84,43,71,85
"ENSMUSG00000081442.1",0,0,1,0,0,0,0,0
"ENSMUSG00000081443.2",0,0,1,0,0,0,0,0
"ENSMUSG00000081444.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081445.1",6,2,2,2,3,1,2,2
"ENSMUSG00000081447.1",13,14,12,17,12,13,16,18
"ENSMUSG00000081449.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081450.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081451.1",810,658,405,750,803,473,472,563
"ENSMUSG00000081452.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081453.1",26062,26740,25222,29506,33662,20989,26759,44354
"ENSMUSG00000081455.1",119,85,104,96,88,63,75,54
"ENSMUSG00000081456.1",651,592,552,539,741,451,802,797
"ENSMUSG00000081457.1",1651,756,1279,1365,1267,1260,880,1197
"ENSMUSG00000081458.2",0,0,2,0,0,0,1,0
"ENSMUSG00000081459.3",2088,982,1910,1464,1873,1593,1913,1694
"ENSMUSG00000081460.1",42,17,41,12,38,25,19,52
"ENSMUSG00000081461.3",4984,2508,3914,3374,3870,3013,2819,4360
"ENSMUSG00000081463.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081464.1",0,0,0,1,2,0,0,2
"ENSMUSG00000081465.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081466.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081467.1",450,496,428,470,816,347,713,815
"ENSMUSG00000081469.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081470.1",299,251,122,332,409,202,213,420
"ENSMUSG00000081471.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081473.3",9952,5234,8105,6833,7808,7796,7049,8923
"ENSMUSG00000081474.1",0,0,0,2,0,0,0,0
"ENSMUSG00000081475.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081476.1",1383,964,789,1016,1477,1017,990,1640
"ENSMUSG00000081477.1",1,0,0,0,0,0,0,0
"ENSMUSG00000081478.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081480.1",0,0,0,0,0,0,0,1
"ENSMUSG00000081481.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081483.1",29,23,15,18,31,16,16,26
"ENSMUSG00000081484.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081485.5",25027,11012,16256,18593,21343,18501,14812,23201
"ENSMUSG00000081486.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081487.1",0,0,1,0,0,5,1,1
"ENSMUSG00000081488.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081490.1",13,9,8,11,10,3,3,4
"ENSMUSG00000081491.1",3575,1577,2544,2087,2631,1812,1962,2814
"ENSMUSG00000081492.1",1,7,3,2,7,0,3,7
"ENSMUSG00000081494.1",46,35,36,36,26,24,27,28
"ENSMUSG00000081495.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081496.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081497.1",10,5,11,12,9,7,12,10
"ENSMUSG00000081498.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081499.1",247,133,151,178,227,201,145,205
"ENSMUSG00000081500.1",0,0,2,1,0,0,0,0
"ENSMUSG00000081501.5",0,0,0,0,0,0,0,0
"ENSMUSG00000081502.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081504.3",33,20,25,34,507,348,18,145
"ENSMUSG00000081505.1",62,52,48,70,79,55,44,92
"ENSMUSG00000081506.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081507.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081508.1",1,0,0,0,0,0,0,0
"ENSMUSG00000081510.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081511.1",0,0,3,0,0,1,1,0
"ENSMUSG00000081512.1",1,1,1,1,3,1,1,6
"ENSMUSG00000081513.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081514.2",14,11,14,16,22,10,7,11
"ENSMUSG00000081515.1",109,53,146,58,78,63,90,73
"ENSMUSG00000081516.1",55,77,24,75,72,46,43,93
"ENSMUSG00000081517.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081519.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081520.1",756,470,447,321,461,299,312,325
"ENSMUSG00000081522.1",13,21,19,24,12,14,11,8
"ENSMUSG00000081523.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081524.3",19,17,22,20,21,10,18,26
"ENSMUSG00000081525.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081526.1",0,0,0,2,0,0,0,0
"ENSMUSG00000081528.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081529.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081530.1",0,0,1,0,0,0,0,0
"ENSMUSG00000081531.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081532.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081533.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081534.2",386,329,504,620,663,374,610,1025
"ENSMUSG00000081536.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081537.2",136,90,97,101,127,135,89,67
"ENSMUSG00000081538.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081539.1",7,9,6,11,13,4,14,19
"ENSMUSG00000081540.3",31,52,38,67,63,29,38,76
"ENSMUSG00000081541.1",0,0,0,0,0,1,0,0
"ENSMUSG00000081542.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081543.1",4,0,12,4,4,2,3,6
"ENSMUSG00000081544.1",343,225,201,331,430,254,276,516
"ENSMUSG00000081546.1",12,7,15,11,5,1,1,5
"ENSMUSG00000081547.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081548.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081550.1",618,438,961,535,584,407,729,675
"ENSMUSG00000081551.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081552.1",28534,20472,18399,23416,31210,19992,31496,28136
"ENSMUSG00000081553.1",127,113,117,106,143,85,178,217
"ENSMUSG00000081555.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081556.1",9,5,8,4,15,8,16,5
"ENSMUSG00000081557.2",132,137,114,134,136,102,101,142
"ENSMUSG00000081559.3",2548,1409,3276,1848,1899,1611,2123,2029
"ENSMUSG00000081560.1",1,3,2,6,1,4,2,2
"ENSMUSG00000081561.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081562.1",13893,5910,9491,9248,11306,9277,8714,11170
"ENSMUSG00000081563.1",0,0,1,0,0,0,0,0
"ENSMUSG00000081564.1",40,27,29,32,30,34,26,15
"ENSMUSG00000081565.1",2871,1367,2753,1944,2544,1922,2174,3160
"ENSMUSG00000081566.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081567.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081568.1",1257,597,1108,901,846,787,690,1008
"ENSMUSG00000081569.1",0,0,0,0,1,0,0,0
"ENSMUSG00000081570.1",1,2,3,4,1,3,1,3
"ENSMUSG00000081571.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081572.3",13607,8194,10135,10775,10183,8037,8229,12506
"ENSMUSG00000081573.1",1,0,0,1,0,1,0,0
"ENSMUSG00000081574.1",14,25,19,30,25,17,19,30
"ENSMUSG00000081575.1",4575,3017,3137,3885,3701,2632,2220,4176
"ENSMUSG00000081576.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081577.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081578.2",48,52,18,61,83,32,51,79
"ENSMUSG00000081579.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081580.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081583.1",15,5,11,11,11,6,10,6
"ENSMUSG00000081584.1",7,5,5,3,4,5,5,3
"ENSMUSG00000081585.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081586.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081587.1",0,0,2,0,0,1,0,2
"ENSMUSG00000081588.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081589.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081590.1",13,13,13,17,18,26,13,18
"ENSMUSG00000081591.1",5,5,3,7,1,1,3,5
"ENSMUSG00000081592.1",1,0,0,0,0,0,0,0
"ENSMUSG00000081593.1",117,155,150,119,108,84,117,176
"ENSMUSG00000081594.1",30,14,17,30,29,13,14,15
"ENSMUSG00000081595.1",35,48,51,78,52,32,32,51
"ENSMUSG00000081596.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081597.1",98,127,40,101,164,68,76,102
"ENSMUSG00000081598.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081599.1",1,2,0,4,2,0,1,2
"ENSMUSG00000081600.3",112,83,113,73,62,53,46,41
"ENSMUSG00000081601.1",3,2,1,6,5,2,5,3
"ENSMUSG00000081602.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081603.1",11109,8623,10175,10999,10096,6580,7809,7845
"ENSMUSG00000081604.5",53057,26453,41292,35321,44396,34831,38339,51680
"ENSMUSG00000081605.1",1,4,1,6,4,2,2,5
"ENSMUSG00000081606.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081607.2",16,6,5,9,11,5,11,8
"ENSMUSG00000081608.1",530,288,317,360,423,321,327,508
"ENSMUSG00000081609.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081610.1",0,0,0,0,0,0,0,1
"ENSMUSG00000081611.1",286,288,211,356,366,210,266,415
"ENSMUSG00000081612.1",0,0,2,33,1,4,0,0
"ENSMUSG00000081613.1",0,3,3,5,0,0,3,5
"ENSMUSG00000081614.1",1368,1116,1595,1389,1192,889,1220,1275
"ENSMUSG00000081615.1",0,1,0,0,0,0,0,0
"ENSMUSG00000081616.1",0,0,0,1,0,0,0,0
"ENSMUSG00000081617.1",13,9,19,10,4,4,4,4
"ENSMUSG00000081618.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081619.1",0,2,0,0,0,0,0,0
"ENSMUSG00000081620.1",3,3,1,0,1,3,1,3
"ENSMUSG00000081621.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081622.1",41,37,48,49,34,19,28,25
"ENSMUSG00000081623.1",1,0,1,0,0,0,0,0
"ENSMUSG00000081624.1",23,19,14,4,26,10,18,17
"ENSMUSG00000081625.1",1,0,0,5,2,1,0,1
"ENSMUSG00000081626.3",0,0,0,0,0,0,0,0
"ENSMUSG00000081627.1",3,2,8,9,6,7,10,5
"ENSMUSG00000081628.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081629.1",2069,1646,2653,2278,2171,1558,1856,1977
"ENSMUSG00000081630.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081631.1",1521,863,1628,1186,1229,989,986,1218
"ENSMUSG00000081632.1",12,9,14,12,9,11,11,6
"ENSMUSG00000081633.1",51,60,25,60,47,33,52,57
"ENSMUSG00000081635.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081636.2",0,0,0,0,0,0,0,0
"ENSMUSG00000081638.4",0,0,0,0,0,0,0,0
"ENSMUSG00000081639.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081640.1",9445,5553,6087,8409,8967,6374,6767,10813
"ENSMUSG00000081641.3",23,13,11,19,14,5,11,6
"ENSMUSG00000081642.1",12813,6534,13412,8591,9060,8023,8408,9706
"ENSMUSG00000081643.1",1571,1283,2019,1601,1703,1201,1523,2006
"ENSMUSG00000081646.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081647.1",6,4,6,9,3,5,6,2
"ENSMUSG00000081648.1",9,9,13,14,11,4,10,4
"ENSMUSG00000081649.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081650.1",0,0,0,0,0,0,2,0
"ENSMUSG00000081651.1",355,191,217,263,293,260,237,237
"ENSMUSG00000081652.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081653.1",5,1,3,2,4,1,3,3
"ENSMUSG00000081654.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081656.1",247,141,299,220,251,192,273,273
"ENSMUSG00000081657.1",7000,4821,5452,5628,9953,6823,9521,7747
"ENSMUSG00000081658.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081659.1",0,0,0,0,0,0,0,0
"ENSMUSG00000081660.1",9,13,8,18,15,2,10,14
"ENSMUSG00000081661.1",142,68,84,90,120,93,113,144
"ENSMUSG00000081662.1",473,262,313,342,495,275,295,281
"ENSMUSG00000081663.1",148,100,125,98,158,107,131,148
"ENSMUSG00000081664.1",17,15,8,16,22,9,10,22
"ENSMUSG00000081665.2",0,0,0,3,0,0,0,12
"ENSMUSG00000081666.1",38,66,68,67,74,49,101,119
