"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000001767.5",1112,1086,1052,1141,1164,774,796,993
"ENSMUSG00000001768.15",681,653,795,769,618,454,694,968
"ENSMUSG00000001773.14",0,0,0,0,0,0,0,0
"ENSMUSG00000001774.7",1987,2098,1762,2804,2471,1543,1609,2307
"ENSMUSG00000001783.3",4875,4749,4236,4497,5164,3684,5398,5479
"ENSMUSG00000001785.11",937,1521,756,1431,1538,758,945,1735
"ENSMUSG00000001786.14",393,557,604,549,544,352,548,684
"ENSMUSG00000001794.13",3119,2086,3616,2503,2758,2161,4053,4443
"ENSMUSG00000001802.16",187,194,373,216,199,184,308,330
"ENSMUSG00000001804.9",0,0,0,0,0,0,0,0
"ENSMUSG00000001815.15",0,0,0,1,0,0,0,0
"ENSMUSG00000001819.4",0,0,1,0,0,0,0,0
"ENSMUSG00000001823.5",0,0,0,0,0,0,0,0
"ENSMUSG00000001827.12",0,0,0,0,0,1,0,0
"ENSMUSG00000001829.17",202,229,266,329,203,134,250,310
"ENSMUSG00000001833.16",7473,7617,6591,7983,7429,5529,5299,7472
"ENSMUSG00000001844.10",1055,1076,930,1209,1355,810,1000,1662
"ENSMUSG00000001847.14",2244,2197,2683,2325,2171,1916,2574,3405
"ENSMUSG00000001855.15",949,853,617,595,702,517,700,872
"ENSMUSG00000001864.13",4801,5423,5344,6147,8929,4576,6847,9177
"ENSMUSG00000001865.2",9,7,2,33,6,0,0,0
"ENSMUSG00000001870.15",270,396,209,219,199,125,186,267
"ENSMUSG00000001891.16",1306,1901,1893,2102,1963,1288,1599,2235
"ENSMUSG00000001901.15",56,80,129,125,141,47,199,168
"ENSMUSG00000001909.15",455,529,751,749,827,374,679,1032
"ENSMUSG00000001910.4",703,767,1825,984,1241,648,2156,1812
"ENSMUSG00000001911.16",698,588,942,578,527,411,771,777
"ENSMUSG00000001918.17",91,82,55,62,82,38,81,128
"ENSMUSG00000001924.15",5447,6024,5372,4975,5221,3550,5806,6873
"ENSMUSG00000001930.17",36,47,32,1,7,7,5,39
"ENSMUSG00000001942.7",72,115,61,122,90,61,69,79
"ENSMUSG00000001943.7",2,2,7,12,0,2,1,2
"ENSMUSG00000001946.13",52,48,27,67,27,23,18,27
"ENSMUSG00000001948.9",342,236,350,314,460,352,390,310
"ENSMUSG00000001962.8",917,885,1097,1572,2080,533,1946,1802
"ENSMUSG00000001964.14",7905,6626,7747,8342,8473,6881,6231,8776
"ENSMUSG00000001983.7",157,226,176,294,246,177,188,294
"ENSMUSG00000001985.9",8,13,23,5,10,4,3,2
"ENSMUSG00000001986.16",119,173,123,116,61,47,79,127
"ENSMUSG00000001988.9",1,0,1,12,4,1,6,0
"ENSMUSG00000001995.9",396,338,955,555,424,337,706,598
"ENSMUSG00000001998.15",92,153,122,171,146,69,195,174
"ENSMUSG00000001999.15",1081,815,654,772,910,596,755,783
"ENSMUSG00000002006.12",488,336,719,438,434,358,605,631
"ENSMUSG00000002007.5",1,1,0,3,0,4,2,0
"ENSMUSG00000002010.17",3610,2837,2671,2766,3652,2429,3264,4334
"ENSMUSG00000002012.13",1248,1038,832,1240,1661,970,1396,1971
"ENSMUSG00000002014.12",2624,1644,1714,1785,1961,1616,1568,2362
"ENSMUSG00000002015.5",1312,1176,929,1177,1186,730,834,1132
"ENSMUSG00000002017.9",933,804,1188,763,755,617,853,1054
"ENSMUSG00000002020.15",22,31,27,5,10,15,23,20
"ENSMUSG00000002028.12",636,701,1104,733,487,405,771,860
"ENSMUSG00000002031.11",2810,3141,2529,4100,4614,3204,3388,4944
"ENSMUSG00000002032.16",69,106,77,121,142,65,130,251
"ENSMUSG00000002033.13",0,9,3,4,1,0,0,0
"ENSMUSG00000002043.17",1050,861,1092,991,1440,1194,1385,1617
"ENSMUSG00000002052.6",1428,1316,1393,1012,1051,863,1235,1475
"ENSMUSG00000002055.9",168,178,216,257,214,118,198,192
"ENSMUSG00000002057.4",13,7,2,28,10,1,15,13
"ENSMUSG00000002058.13",818,630,1387,844,1193,914,1393,1282
"ENSMUSG00000002059.18",496,481,560,514,638,409,545,782
"ENSMUSG00000002064.10",2048,1334,995,1510,1835,1295,1319,2119
"ENSMUSG00000002068.16",216,171,205,109,185,133,216,288
"ENSMUSG00000002076.11",18,19,41,28,18,15,4,30
"ENSMUSG00000002083.13",89,57,155,86,96,78,114,145
"ENSMUSG00000002100.15",0,0,0,0,0,0,0,0
"ENSMUSG00000002102.15",9062,6483,7226,7941,9681,6641,8595,9746
"ENSMUSG00000002103.15",365,522,524,374,561,262,435,664
"ENSMUSG00000002104.11",66,50,43,32,61,40,43,75
"ENSMUSG00000002105.15",209,271,403,325,302,180,384,531
"ENSMUSG00000002107.18",4725,5275,9061,6171,7218,4362,7590,8128
"ENSMUSG00000002108.10",28,20,12,22,30,11,20,21
"ENSMUSG00000002109.14",46,48,41,43,107,31,35,63
"ENSMUSG00000002111.8",2,0,0,4,4,1,1,8
"ENSMUSG00000002129.11",1433,1678,1647,1737,2011,1146,1783,2265
"ENSMUSG00000002147.18",113,170,83,81,75,44,90,144
"ENSMUSG00000002190.13",115,128,119,126,103,66,98,120
"ENSMUSG00000002204.9",19,8,8,7,3,19,14,11
"ENSMUSG00000002205.16",1424,1254,1386,1942,2313,1303,1790,2729
"ENSMUSG00000002210.11",255,193,381,296,305,159,286,432
"ENSMUSG00000002221.11",436,438,632,484,538,379,629,741
"ENSMUSG00000002222.14",887,1234,2131,1423,1373,1029,2019,1573
"ENSMUSG00000002227.15",431,703,354,373,452,228,429,691
"ENSMUSG00000002228.7",14,1,14,7,8,10,24,27
"ENSMUSG00000002233.13",1379,1100,1325,1145,1550,990,1422,1628
"ENSMUSG00000002240.12",0,0,0,0,0,0,0,0
"ENSMUSG00000002249.17",151,95,240,160,224,117,231,252
"ENSMUSG00000002250.15",166,146,431,184,267,179,404,390
"ENSMUSG00000002257.7",61,37,113,20,76,37,74,49
